Timestamp,X,Y,Angle Change,Velocity,Acceleration,Label
28144.59133,98.17767654,29.93039443,-0.099542468,255.9459351,-216.5664271,circle
28144.6083,96.35535308,25.98607889,-0.206873284,252.4812838,2190.904789,circle
28144.6243,94.30523918,22.50580046,-0.113855959,286.1368677,-1232.601174,circle
28144.63966,91.34396355,19.2575406,-0.065374789,266.5610656,-3753.683619,circle
28144.65554,88.15489749,16.47331787,-0.092453527,202.9346268,156.5979843,circle
28144.6725,85.4214123,14.38515081,-0.032792428,205.5966203,751.3290468,circle
28144.68949,82.46013667,12.52900232,-0.006819911,218.2964854,1493.099774,circle
28144.7064,79.27107062,10.67285383,-0.206878811,244.000198,3638.706422,circle
28144.72361,75.62642369,8.584686775,-0.072328474,306.533915,4960.536848,circle
28144.7408,70.61503417,6.960556845,0.00826318,392.5064673,1.78E+11,circle
28144.75813,64.00911162,5.336426914,-0.038106179,817598.879,-52460910.93,circle
28144.75813,60.36446469,4.408352668,0.011361061,284.1172863,1.05E+12,circle
28144.77371,56.03644647,3.480278422,-0.087613788,2101973.94,-136386950,circle
28144.77372,51.93621868,2.552204176,0.058445838,223.7623488,7790.157889,circle
28144.78913,48.51936219,2.088167053,-0.025271083,355.8725204,1.23E+12,circle
28144.80608,42.59681093,0.928074246,-0.075823922,1848394.685,-120303251.9,circle
28144.80609,39.86332574,0.464037123,-0.059488202,163.7959713,15931.7609,circle
28144.82145,37.35763098,0.232018561,6.250340301,427.2531285,-8062.005954,circle
28144.83799,30.29612756,0,-0.300602909,297.7152354,3069.694614,circle
28144.85405,25.51252847,0,-0.072775059,346.3324448,2689.238706,circle
28144.86989,20.27334852,1.62412993,,390.1737588,,circle
28144.88619,14.35079727,3.944315545,,,,circle
28144.90329,17.37704918,4.867256637,-0.166716365,327.3588691,-1261.800034,circle
28144.91983,13.27868852,8.407079646,-0.13380633,307.3078571,-725.9875937,circle
28144.93572,10.16393443,12.16814159,-0.16124815,295.1192514,1948.905678,circle
28144.95251,7.540983607,16.37168142,-0.103439107,327.9078355,2551.515434,circle
28144.96934,5.409836066,21.46017699,0.010606629,370.839379,530.020035,circle
28144.98616,3.606557377,27.43362832,-0.087667621,379.2638354,249.6970771,circle
28145.00206,1.803278689,33.18584071,-0.12376227,383.2484015,-4013.229573,circle
28145.01801,0.491803279,39.15929204,-0.092359435,315.3959265,2171.365159,circle
28145.03492,0,44.46902655,-0.060007621,350.9822129,7128.167677,circle
28145.05131,0,50.22123894,-0.182140376,474.2424884,8639.610115,circle
28145.0686,0.491803279,58.40707965,-0.134206051,625.3630927,-24936.75432,circle
28145.08609,3.114754098,69.02654867,-0.117924973,218.9413771,1.41E+12,circle
28145.10239,4.426229508,72.34513274,-0.143426579,1974650.229,-127381586,circle
28145.10239,5.737704918,74.77876106,-0.14894461,337.551111,-1035.712591,circle
28145.11789,8.852459016,78.98230088,-0.074559962,320.3320785,-2108.236622,circle
28145.13452,12.62295082,82.74336283,0.013421341,285.1881956,2833.0507,circle
28145.15119,16.2295082,85.84070796,-0.082981995,333.4798113,2441.484265,circle
28145.16823,20.49180328,89.60176991,-0.077986591,372.3448227,-157.6118564,circle
28145.18415,25.24590164,93.14159292,-0.150366027,369.86811,1238.884636,circle
